rating,name,review,date,location,usage_duration
1,Exodus Beauty,"**This platform has been incredibly frustrating.**

I connected the TikTok app to my Shopify store—which was already performing well—because I wanted to increase product visibility and direct customers to my Shopify store from TikTok (similar to FB&IG). I assumed that orders placed through TikTok would be managed via Shopify, but I was very wrong.

TikTok prioritises customer engagement on its app, which means it applies discounts and free shipping to sellers’ listings without giving sellers the option to opt in or out. After receiving two orders where customers were granted free shipping—despite my shipping profiles being correctly set up—I had no choice but to cancel the orders, as they were placed without any shipping fees being paid. The seller also bears the cost of free shipping, and deductions are made from your payout in 5 BUSINESS DAYS.

I initially thought the shipping setup was incorrect, so I contacted support. Upon further investigation, I discovered that TikTok had automatically listed all my products at 40% off, with free shipping on orders over £22. None of these settings were configured on my end. I strongly believe that sellers should have full control over what discounts and offers are applied to their products/services.

Additionally, having shipping managed through TikTok’s platform added unnecessary steps to my existing Shopify fulfilment process, complicating operations that were already running smoothly.

These are my personal views, but ultimately, I chose to deactivate my TikTok store. Based on this experience, I don’t believe selling on the platform is currently viable or profitable for my business—either now or in the long term.","November 13, 2025",United Kingdom,About 4 years using the app
1,T-Shirt Crazed,"Shop was suspended due to Identity Re-Verification. Provided identifying information with images and videos as requested for shop and was approved then within 24 hours shop was suspended again for same reason.

Completed appeal process again with the requested 2 forms of government-issued photo ID: License and Passport; Corporate documentation: copy of business registration and business tax return Evidence of alternative sales channels: business website; Physical warehouse location and supporting documentation: ownership documents or leasing contracts, waybill showing delivery of inventory to warehouse, utility bills, video footage at warehouse location with packaging process; Picture of you holding your ID; Supporting videos and system still states information is not enough.

Well I am not sure who is reviewing the information, but training is needed for those reviewing appeal if the information provided does not prove I am a real person.","October 5, 2025",United States,About 1 year using the app
1,Remnants by Peo Vee,"This experience has been awful. The app made changes to my account without warning me (including a name change), it also doesn't let you sell used items which wasn't clear up front after making said changes. Umm, so only massed produced imported crap then?

The setup has been unnecessarily complex. Not hard. Just a lot of unnecessary steps. Let's you have little to no control over your policies like returns.","October 8, 2025",United States,11 months using the app
1,Heartmade Woodworking,"Everything about the Tiktok shop, seller center and product synchronization overall is an absolute disaster. Atrocious user experience, totally convoluted...literally everything and constant errors/crashes.

I have to practice deep breathing exercises for 30 minutes before I try and do anything Tiktok shop related. It never works and I still end up infuriated at how terrible the entire experience is.

Just gross.","August 27, 2025",United States,Almost 2 years using the app
1,Soap Is a Lye SJ LLC,They refuse to pay me because i use shopify for shipping instead of tiktok for shipping. They want me to purchase another shipping label and have that tracking information show as delivered in order for them to pay out my order. I will be removing everything from tiktok as its been hours of me trying to resolve this and clearly they do not care.,"September 8, 2025",United States,5 months using the app
1,RETTRO,Tiktok suspended and deactivated my Tiktok SHOP before i could even get started. I have had zero violations.,"November 12, 2025",United States,Over 4 years using the app
1,Kingdom Brews,"To get qualified I submitted my EIN several times and they could not get it working. The upload takes .pdf, .png, .jpg, and .jpeg and none of the formats would take it. In fact, their support team suggested all of the formats which I tried, but they said it needed to be unaltered. Um...its from the IRS in original format. Then ironically they said submit a printed file. Trash.","November 6, 2025",United States,9 days using the app
1,Colourpops,"EVERYTHING is SOOOOOoooooooo complicated!!!! nothing is easy, can't find anything you need. Nothing gives easy instructions.

I am a new tiktok seller and nothing is easy. I get violations for ""diverting traffic"" but I don't divert traffic as I want all my sales through tiktok shop. When I submit evidence and report back with documents - its rejected!!

I am trying so hard with this but nothing is easy what so ever. I rad the pages and pages and pages and pages of documents you have and there are thousands - nothing makes sense and its all so complicated!

I just wanted to set up a tktok shop but there are so many apps Tiktok Tiktok seller centre Tiktok business Tiktok ad manager and so on........................... pleae simplify it!!!","September 4, 2025",United Kingdom,24 days using the app
1,SERGE BLANCO,"Nul, impossible d'ouvrir le compte alors que tous les documents sont en règles","October 15, 2025",France,10 months using the app
1,Capobianchi,"Pessimo! Dopo aver configurato tutto, l'app mi da alcuni prodotti sincronizzati e la possibilità di fare le campagne, entro nel seller e non c'è un prodotto sincronizzato! Bisogna fare un modulo di categoria dove si potrebbero raggruppare più prodotti, ma non è possibile in quanto tra i campi obbligatori chiede le misure!!!! Abbiamo oltre 4000 prodotti e ognuno ha una misura diversa....Chiede il certificato per vendere in UK quando il negozio è abilitato a vendere solo in Italia.....se avete grandi negozi sappiate che dovrete perdere tempo per ogni prodotto ad inserire ogni dettaglio. Pessimo!","October 10, 2025",Italy,Almost 2 years using the app
